epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6782.69,1.47338,1.7385,1.46893,0.76737,0.75524,0.82706,0.46406,1.4438,1.37597,1.35083,0.070056,0.00332711,0.00332711
2,12659.3,1.37315,1.04645,1.31572,0.82342,0.7695,0.85251,0.50025,1.38751,1.06325,1.32889,0.0393966,0.00600106,0.00600106
3,18440.4,1.37787,1.02215,1.32189,0.68179,0.51819,0.59745,0.30753,1.74497,1.82786,1.60918,0.0080772,0.00801501,0.00801501
4,24191.1,1.37521,1.00617,1.33182,0.83056,0.7829,0.87209,0.52571,1.33684,1.01488,1.29291,0.00703,0.00703,0.00703
